77,506
77,546
470,650
186,536
367,566
9,604
9,514
9,609
48,594
337,529
337,531
456,621
164,683
266,825
13,743
426,647
190,626
51,761
350,577
83,609
394,841
250,652
413,538
116,807
480,581
222,671
88,637
88,639
251,645
131,722
52,752
52,671
482,665
469,826
216,775
48,728
69,520
37,552
25,515
25,699
53,723
408,830
58,857
57,516
433,633
110,781
110,759
110,815
87,539
46,757
191,550
92,534
409,669
14,760
23,747
160,593
295,803
395,677
377,640
106,606
254,615
254,728
394,865
458,870
68,640
375,604
250,507
22,594
475,642
196,541
366,608
272,547
48,571
194,910
188,797
210,537
210,583
451,851
94,703
94,720
275,705
105,749
291,638
230,651
230,561
362,586
408,694
259,587
411,690
452,717
452,751
234,549
319,529
319,629
25,565
77,733
378,580
110,570
147,800
68,663
417,804
124,617
72,823
146,635
297,534
62,555
157,782
71,899
320,572
478,829
478,734
306,807
491,542
421,762
169,813
348,569
397,545
376,616
118,735
187,521
298,547
279,663
220,505
401,822
295,817
171,815
340,550
15,534
232,766
473,553
31,774
454,524
110,833
287,603
487,872
64,736
415,684
392,702
418,640
127,850
154,813
115,533
101,804
315,688
359,742
322,807
138,866
0,571
467,637
100,560
262,721
246,803
246,827
459,587
400,552
163,820
67,808
110,636
40,663
297,727
457,749
222,677
122,916
353,535
25,531
142,815
166,833
135,559
311,598
424,818
78,565
78,517
414,800
8,640
133,704
262,591
447,621
160,641
369,771
498,614
386,652
202,840
427,794
220,789
172,599
360,637
402,559
351,587
217,796
82,772
209,642
388,529
387,635
36,591
152,675
290,592
189,646
295,798
109,633
288,747
334,591
215,754
204,567
32,815
1,708
314,815
136,621
374,547
301,765
495,811
97,640
91,586
492,728
203,666
328,802
258,835
75,604
159,726
267,881
195,643
28,757
23,690
12,760
128,547
187,741
383,615
445,628
390,784
63,634
349,744
356,512
464,577
73,612
49,593
500,576
144,581
42,635
2,509
380,590
80,652
131,801
5,728
5,906
66,713
167,799
306,720
193,514
448,520
95,594
161,568
425,505
419,593
70,667
375,621
233,556
468,533
270,613
443,832
82,757
74,799
7,603
292,832
393,804
260,835
102,879
92,513
344,514
284,543
110,541
361,547
280,785
121,679
242,594
363,893
79,533
145,581
145,631
193,571
193,671
335,544
415,627
262,749
198,839
455,646
278,785
236,591
104,837
474,757
423,556
466,662
496,830
197,772
207,528
233,707
330,612
396,787
373,557
111,719
461,742
308,799
334,798
334,807
81,513
255,697
499,639
385,593
228,834
84,662
237,630
237,657
249,574
225,778
262,619
162,811
329,640
371,662
262,759
276,758
293,508
219,681
29,640
68,731
338,747
174,742
462,540
216,726
313,540
163,571
410,690
452,826
48,763
277,526
21,885
25,601
129,819
318,795
38,632
33,659
460,568
444,568
442,568
398,568
370,568
364,568
357,568
317,568
192,568
136,522
201,581
493,655
111,581
231,677
51,714
379,729
379,738
379,746
227,679
502,783
93,770
157,742
154,785
50,523
341,692
309,750
336,547
184,581
399,741
310,699
202,720
138,871
406,631
393,638
312,786
170,531
323,576
340,743
19,577
212,525
471,634
381,535
5,766
483,794
34,581
173,631
316,677
332,742
21,536
46,728
46,842
142,540
484,632
160,805
472,669
472,672
4,838
247,810
324,674
439,742
448,739
148,736
177,859
494,504
18,688
268,632
205,789
94,622
59,813
182,708
10,724
88,748
347,616
180,676
48,687
25,602
39,673
373,793
97,739
34,799
482,686
55,793
441,635
207,695
143,700
143,665
